,price,year,transmission,mileage,fuelType,tax,mpg,engineSize,model
1,12000,3,0,15944,1,150,57.7,1,1
4,17500,1,1,10460,1,145,40.3,1.5,1
5,16500,1,0,1482,1,145,48.7,1,1
6,10500,5,1,35432,1,145,47.9,1.6,1
8,9000,3,1,13054,1,145,54.3,1.2,1
11,11561,2,1,18803,1,145,56.5,1,1
19,10999,3,1,12427,1,20,62.8,1,1
20,12500,1,1,25521,1,145,55.4,1,1
21,9499,2,1,20400,1,145,55.4,1.1,1
22,10500,3,1,24926,1,145,65.7,1,1
23,8995,3,1,26163,1,145,65.7,1,1
29,12499,2,1,8700,1,145,58.9,1,1
30,8699,3,1,25000,1,125,54.3,1.2,1
32,8991,3,1,18561,1,145,54.3,1.2,1
39,9814,2,1,15100,1,145,65.7,1,1
41,8788,3,1,15612,1,145,65.7,1,1
42,12251,2,1,8920,1,145,58.9,1,1
44,13140,1,1,7,1,145,48.7,1.1,1
48,13540,1,1,6923,1,145,58.9,1,1
54,6395,4,1,31562,1,125,54.3,1.2,1
59,5495,7,1,51271,1,30,54.3,1.2,1
81,6700,5,1,28935,1,30,54.3,1.2,1
82,9498,2,1,30925,1,145,65.7,1,1
84,13298,2,1,13756,1,145,58.9,1,1
86,8998,3,1,21267,1,145,64.2,1.1,1
87,12698,1,1,12130,1,145,56.5,1,1
88,11998,1,1,17354,1,145,56.5,1,1
89,13498,1,1,15822,1,145,58.9,1,1
90,13498,1,1,10557,1,145,58.9,1,1
93,9895,3,1,19079,1,145,65.7,1,1
94,12995,2,1,14979,1,145,58.9,1,1
96,8495,4,1,24410,1,125,54.3,1.2,1
97,13895,1,1,13600,1,145,58.9,1,1
113,9995,2,1,25776,1,145,65.7,1,1
116,11998,3,1,6568,1,145,62.8,1,1
121,12495,2,1,12426,1,145,65.7,1,1
125,11995,2,1,32168,1,145,65.7,1,1
127,8995,3,1,31559,1,145,65.7,1,1
150,13950,1,1,6700,1,145,58.9,1,1
151,10650,3,1,31800,1,150,65.7,1,1
152,7995,4,1,20700,1,125,54.3,1.2,1
155,11995,2,1,31593,1,145,65.7,1,1
164,7398,4,1,35180,1,125,54.3,1.2,1
165,11498,1,1,17708,1,145,58.9,1,1
166,13998,1,1,9957,1,145,58.9,1,1
180,10998,3,1,10125,1,145,65.7,1,1
182,8998,3,1,12753,1,145,54.3,1.2,1
185,18998,1,1,3292,1,145,40.3,1.5,1
189,8498,4,1,21888,1,125,54.3,1.2,1
190,13995,1,1,11130,1,145,58.9,1,1
193,12798,1,1,10567,1,145,58.9,1,1
194,14698,1,1,7872,1,145,58.9,1,1
197,9998,3,1,28519,1,20,62.8,1,1
205,7998,4,1,16070,1,125,54.3,1.2,1
207,10998,3,1,19140,1,145,62.8,1,1
209,5498,7,1,53545,1,30,54.3,1.2,1
222,10298,3,1,9148,1,145,65.7,1,1
227,8998,3,1,5233,1,125,54.3,1.2,1
230,12498,2,1,17918,1,145,65.7,1,1
235,12998,2,1,9901,1,150,65.7,1,1
243,9998,3,1,10721,1,145,65.7,1,1
245,17498,1,1,3265,1,145,58.9,1,1
250,17298,0,1,4563,1,145,54.3,1,1
251,16998,1,1,12236,1,145,55.4,1,1
260,14498,2,1,9428,1,145,62.8,1,1
279,9998,2,1,7892,1,145,65.7,1,1
280,11990,3,1,24725,1,145,47.9,1.6,1
289,4699,6,1,85000,1,30,54.3,1.2,1
297,11798,1,1,5530,1,150,48.7,1.1,1
298,11798,1,1,4590,1,150,48.7,1.1,1
307,8498,4,1,23053,1,125,54.3,1.2,1
324,8498,5,1,6649,1,125,54.3,1.2,1
326,11898,1,1,3396,1,150,48.7,1.1,1
327,11498,1,1,15766,1,145,58.9,1,1
328,13298,1,1,7349,1,145,58.9,1,1
332,9598,3,1,14403,1,145,64.2,1.1,1
334,13498,1,1,13351,1,145,58.9,1,1
335,6998,4,1,34804,1,125,54.3,1.2,1
337,9949,2,1,27399,1,145,64.2,1.1,1
341,9489,2,1,35417,1,145,64.2,1.1,1
343,10990,2,1,28138,1,145,56.5,1,1
346,11489,2,1,19665,1,145,60.1,1,1
376,10399,2,1,7200,1,145,65.7,1,1
378,5330,7,1,66937,1,30,54.3,1.2,1
380,7485,5,1,11092,1,125,54.3,1.2,1
382,10850,3,1,23634,1,150,65.7,1,1
389,8500,3,1,15060,1,125,54.3,1.2,1
392,11495,3,1,17766,1,145,65.7,1,1
393,14698,1,1,8725,1,145,58.9,1,1
413,10498,2,1,17532,1,145,65.7,1,1
424,11995,2,1,12080,1,150,65.7,1,1
425,10498,3,1,9621,1,145,65.7,1,1
427,11800,2,1,14024,1,145,62.8,1,1
434,5698,6,1,51892,1,30,54.3,1.2,1
444,13998,1,1,5887,1,145,58.9,1,1
472,8449,4,1,79125,1,145,47.9,1.6,1
485,6250,6,1,39223,1,30,54.3,1.2,1
490,10300,2,1,9542,1,145,65.7,1,1
502,13698,1,1,12232,1,145,58.9,1,1
504,7298,4,1,31107,1,125,54.3,1.2,1
507,12998,2,1,23200,1,150,65.7,1,1
515,9490,2,1,3012,1,145,55.4,1.1,1
523,7998,5,1,19001,1,125,54.3,1.2,1
539,7998,4,1,21456,1,125,54.3,1.2,1
547,13498,1,1,9007,1,145,58.9,1,1
548,8498,4,1,11457,1,125,54.3,1.2,1
549,6298,6,1,39944,1,30,54.3,1.2,1
550,11698,1,1,3578,1,150,48.7,1.1,1
555,11950,2,1,16678,1,145,58.9,1,1
556,11395,1,1,1394,1,145,55.4,1.1,1
558,10990,2,1,28138,1,145,56.5,1,1
565,9998,2,1,23112,1,145,65.7,1,1
566,14998,1,1,7953,1,145,60.1,1,1
567,8000,5,1,14422,1,125,54.3,1.2,1
569,7998,4,1,21446,1,125,54.3,1.2,1
570,12498,1,1,7941,1,145,58.9,1,1
577,8698,3,1,18775,1,125,54.3,1.2,1
579,8998,3,1,20507,1,125,54.3,1.2,1
581,10698,1,1,10786,1,145,55.4,1.1,1
591,11298,3,1,13775,1,145,65.7,1,1
604,13698,1,1,11060,1,145,58.9,1,1
613,14998,1,1,8263,1,145,60.1,1,1
616,7798,3,1,11085,1,125,54.3,1.2,1
620,11495,3,1,11476,1,145,65.7,1,1
623,8250,3,1,32994,1,145,64.2,1.1,1
624,10998,1,1,12320,1,145,58.9,1,1
628,6498,6,1,21284,1,30,54.3,1.2,1
631,8498,5,1,10801,1,125,54.3,1.2,1
632,6998,5,1,42477,1,30,54.3,1.2,1
634,11698,1,1,3484,1,150,48.7,1.1,1
644,10447,3,0,8337,1,145,54.3,1,1
659,13898,1,1,14698,1,145,58.9,1,1
660,13498,1,1,20388,1,145,58.9,1,1
661,11998,3,1,8966,1,145,65.7,1,1
664,14998,1,1,8389,1,145,60.1,1,1
669,15698,2,0,921,1,145,49.6,1,1
674,4698,6,1,52627,1,30,54.3,1.2,1
675,11998,1,1,10970,1,145,58.9,1,1
678,9298,3,1,6213,1,125,54.3,1.2,1
680,5298,7,1,64628,1,30,54.3,1.2,1
683,6998,6,1,33154,1,30,54.3,1.2,1
688,11798,1,1,13783,1,145,58.9,1,1
689,11698,1,1,18115,1,145,58.9,1,1
701,10998,2,1,10970,1,145,58.9,1,1
704,14998,1,1,3002,1,145,60.1,1,1
706,8998,4,1,12163,1,125,54.3,1.2,1
707,14998,1,1,5721,1,145,60.1,1,1
713,10998,2,1,16353,1,145,65.7,1,1
715,7498,5,1,23764,1,125,54.3,1.2,1
717,10798,3,1,20241,1,145,65.7,1,1
724,11498,1,1,6158,1,150,48.7,1.1,1
725,10998,3,1,2360,1,150,65.7,1,1
729,6998,6,1,29095,1,30,54.3,1.2,1
733,11298,3,1,23358,1,20,62.8,1,1
739,10698,3,1,6991,1,145,65.7,1,1
741,4998,7,1,54323,1,30,54.3,1.2,1
750,7298,4,1,20809,1,125,54.3,1.2,1
751,11998,2,1,10320,1,145,56.5,1,1
754,10698,2,1,7541,1,145,55.4,1.1,1
756,14698,1,1,10032,1,145,58.9,1,1
757,14698,1,1,8438,1,145,58.9,1,1
760,13998,1,1,6432,1,145,58.9,1,1
766,15450,1,1,5731,1,145,60.1,1,1
768,6150,6,1,31064,1,30,54.3,1.2,1
777,13798,1,1,9847,1,145,58.9,1,1
781,14998,1,1,7995,1,145,60.1,1,1
787,10998,2,1,16658,1,145,65.7,1,1
790,12998,2,1,17096,1,145,58.9,1,1
791,10298,1,1,23309,1,145,55.4,1.1,1
792,12698,1,1,7942,1,145,56.5,1,1
794,6998,7,1,15268,1,30,54.3,1.2,1
795,11698,1,1,14337,1,145,58.9,1,1
796,13998,1,1,17218,1,145,58.9,1,1
798,11998,1,1,9501,1,145,58.9,1,1
799,13498,1,1,10248,1,145,58.9,1,1
801,10998,3,1,19690,1,150,65.7,1,1
805,6798,5,1,30299,1,125,54.3,1.2,1
808,5998,7,1,50052,1,30,54.3,1.2,1
809,8498,3,1,6721,1,125,54.3,1.2,1
812,13898,1,1,7845,1,145,58.9,1,1
817,10598,3,1,11544,1,145,65.7,1,1
820,11998,1,1,14358,1,145,58.9,1,1
821,13998,1,1,7512,1,145,58.9,1,1
823,7498,5,1,34362,1,125,54.3,1.2,1
824,11798,1,1,12286,1,145,58.9,1,1
825,11798,1,1,14068,1,145,58.9,1,1
826,10698,2,1,14523,1,145,65.7,1,1
830,10698,3,1,23494,1,150,62.8,1,1
831,9998,2,1,8608,1,145,55.4,1.1,1
835,10998,2,1,22410,1,145,56.5,1,1
837,10498,3,1,22788,1,145,65.7,1,1
838,10998,2,1,21955,1,145,56.5,1,1
839,14998,1,1,8783,1,145,55.4,1,1
840,5998,6,1,43539,1,30,54.3,1.2,1
845,6495,6,1,54249,1,30,54.3,1.2,1
850,11498,1,1,14132,1,145,58.9,1,1
853,6950,4,1,27098,1,125,54.3,1.2,1
855,7695,3,1,12868,1,125,54.3,1.2,1
857,5698,6,1,52395,1,30,54.3,1.2,1
859,7998,4,1,21715,1,125,54.3,1.2,1
867,8498,3,1,21302,1,125,54.3,1.2,1
869,6498,5,1,46857,1,125,54.3,1.2,1
873,9698,2,1,11783,1,150,64.2,1.1,1
876,11250,2,1,15634,1,145,60.1,1,1
878,6672,6,1,29123,1,30,54.3,1.2,1
886,8498,3,1,14110,1,150,54.3,1.2,1
890,7800,3,1,29543,1,125,54.3,1.2,1
892,12700,2,1,17299,1,145,61.4,1,1
893,9300,3,1,11474,1,145,64.2,1.1,1
897,8998,3,1,13684,1,125,54.3,1.2,1
900,8998,4,1,36488,1,20,62.8,1,1
905,9491,2,1,19272,1,145,64.2,1.1,1
912,8000,3,1,20901,1,145,54.3,1.2,1
913,10950,2,1,14415,1,145,65.7,1,1
917,9350,3,1,10228,1,145,64.2,1.1,1
918,8500,3,1,17812,1,145,54.3,1.2,1
920,9650,2,1,29163,1,145,65.7,1,1
923,7498,4,1,33631,1,125,54.3,1.2,1
924,10498,2,1,7654,1,150,55.4,1.1,1
932,12500,2,1,33095,1,145,65.7,1,1
934,12500,2,1,33268,1,145,65.7,1,1
935,9500,2,1,21857,1,145,64.2,1.1,1
936,10000,2,1,21763,1,145,65.7,1,1
940,18000,0,1,5,1,145,55.4,1,1
943,7850,5,1,19810,1,30,54.3,1.2,1
945,9750,3,1,9576,1,145,64.2,1.1,1
947,11500,2,1,16093,1,145,65.7,1,1
967,11500,2,1,23239,1,145,65.7,1,1
972,10998,2,1,25642,1,145,65.7,1,1
973,9498,3,1,8552,1,125,54.3,1.2,1
980,11500,3,1,12061,0,145,78.5,1.5,1
981,11450,2,1,15220,1,145,65.7,1,1
988,9000,3,1,19869,0,145,78.5,1.5,1
998,10850,2,1,12946,1,145,65.7,1,1
999,9650,2,1,15237,1,145,64.2,1.1,1
1000,9950,2,1,9649,1,145,64.2,1.1,1
1001,10000,2,1,27843,1,145,65.7,1,1
1004,8310,3,1,18680,1,125,54.3,1.2,1
1007,8498,4,1,20447,1,125,54.3,1.2,1
1012,9000,2,1,9592,1,145,64.2,1.1,1
1013,9000,2,1,10945,1,145,64.2,1.1,1
1014,10450,2,1,9000,1,145,64.2,1.1,1
1015,10450,2,1,20000,1,145,65.7,1,1
1016,10000,2,1,8932,1,145,65.7,1,1
1017,10000,3,1,19496,1,145,65.7,1,1
1018,10650,2,1,11451,1,145,65.7,1,1
1020,10000,3,1,12068,1,145,65.7,1,1
